fmt ,CodedValue,valnci ,rank ,OrderNumber,decoded,dictionary ,version ,href
PARAM_ADQSADAS,Comprehension of Spoken Language ,,,12,,,,
PARAM_ADQSADAS,Word Finding Difficulty in Spontaneous Speech ,,,13,,,,
PARAM_ADQSADAS,Recall of Test Instructions ,,,14,,,,
PARAM_ADQSADAS,Adas-cog(11) Subscore ,,,15,,,,
AWRANGE_ADQSADAS,<=1 ,,,1,,,,
AWRANGE_ADQSADAS,2-84 ,,,2,,,,
AWRANGE_ADQSADAS,85-140 ,,,3,,,,
AWRANGE_ADQSADAS,>140 ,,,4,,,,
RACE ,WHITE ,C41261 ,,1,,,,
RACE ,BLACK OR AFRICAN AMERICAN ,C16352,,2,,,,
RACE ,ASIAN ,C41260 ,,3,,,,
RACE ,AMERICAN INDIAN OR ALASKA NATIVE ,C41259,,4,,,,
RACEN ,1,,,,WHITE ,,,
RACEN ,2,,,,BLACK OR AFRICAN AMERICAN ,,,
RACEN ,6,,,,AMERICAN INDIAN OR ALASKA NATIVE ,,,
RACEN ,7,,,,ASIAN ,,,
SEX,F,C16576 ,,,Female ,,,
SEX,M ,C20197 ,,,Male ,,,
SEX,U,C17998 ,,,Unknown ,,,
VISIT ,SCREENING 1 ,,,1,,,,
VISIT ,UNSCHEDULED 1.1 ,,,2,,,,
VISIT ,UNSCHEDULED 1.2,,,3,,,,
VISIT ,UNSCHEDULED 1.3 ,,,4,,,,
VISIT ,SCREENING 2 ,,,5,,,,
VISIT ,BASELINE ,,,6,,,,
VISIT ,UNSCHEDULED 3.1 ,,,7,,,,
VISIT ,AMBUL ECG PLACEMENT ,,,8,,,,
VISIT ,WEEK 2 ,,,9,,,,
VISIT ,UNSCHEDULED 4.1 ,,,10,,,,
VISIT ,UNSCHEDULED 4.2 ,,,11,,,,
VISIT ,WEEK 4 ,,,12,,,,
VISIT ,UNSCHEDULED 5.1 ,,,13,,,,
VISIT ,ANBUL ECG REMOVAL ,,,14,,,,
VISIT ,UNSCHEDULED 6.1 ,,,15,,,,
VISIT ,WEEK 6 ,,,16,,,,
VISIT ,UNSCHEDULED 7.1 ,,,17,,,,
VISIT ,WEEK 8 ,,,18,,,,
VISIT ,WEEK 10 (T) ,,,19,,,,
VISIT ,UNSCHEDULED 8.2 ,,,20,,,,
VISIT ,WEEK 12 ,,,21,,,,
VISIT ,WEEK 14 (T) ,,,22,,,,
VISIT ,UNSCHEDULED 9.2 ,,,23,,,,
VISIT ,UNSCHEDULED 9.3 ,,,24,,,,
VISIT ,WEEK 16,,,25,,,,
VISIT ,WEEK 18 (T) ,,,26,,,,
VISIT ,UNSCHEDULED 10.2 ,,,27,,,,
VISIT ,WEEK 20 ,,,28,,,,
VISIT ,WEEK 22 (T) ,,,29,,,,
VISIT ,UNSCHEDULED 11.2 ,,,30,,,,
VISIT ,WEEK 24 ,,,31,,,,
VISIT ,UNSCHEDULED 12.1 ,,,32,,,,
VISIT ,WEEK 26 ,,,33,,,,
VISIT ,UNSCHEDULED 13.1 ,,,34,,,,
VISIT ,AE FOLLOW-UP,,,35,,,,
VISIT ,RETRIEVAL ,,,36,,,,
VISIT ,Rash followup ,,,37,,,,
VISITNUM ,1,,,1,SCREENING 1 ,,,
VISITNUM ,1.1,,,2,UNSCHEDULED 1.1 ,,,
VISITNUM ,1.2,,,3,UNSCHEDULED 1.2,,,
VISITNUM ,1.3,,,4,UNSCHEDULED 1.3 ,,,
VISITNUM ,2,,,5,SCREENING 2 ,,,
VISITNUM ,3,,,6,BASELINE ,,,
VISITNUM ,3.1,,,7,UNSCHEDULED 3.1 ,,,
VISITNUM ,3.5,,,8,AMBUL ECG PLACEMENT ,,,
VISITNUM ,4,,,9,WEEK 2 ,,,
VISITNUM ,4.1,,,10,UNSCHEDULED 4.1 ,,,
VISITNUM ,4.2,,,11,UNSCHEDULED 4.2 ,,,
VISITNUM ,5,,,12,WEEK 4 ,,,
VISITNUM ,5.1,,,13,UNSCHEDULED 5.1 ,,,
VISITNUM ,6,,,14,ANBUL ECG REMOVAL ,,,
VISITNUM ,6.1,,,15,UNSCHEDULED 6.1 ,,,
VISITNUM ,7,,,16,WEEK 6 ,,,
VISITNUM ,7.1,,,17,UNSCHEDULED 7.1 ,,,
VISITNUM ,8,,,18,WEEK 8 ,,,
VISITNUM ,8.1,,,19,WEEK 10 (T) ,,,
VISITNUM ,8.2,,,20,UNSCHEDULED 8.2 ,,,
VISITNUM ,9,,,21,WEEK 12 ,,,
VISITNUM ,9.1,,,22,WEEK 14 (T) ,,,
VISITNUM ,9.2,,,23,UNSCHEDULED 9.2 ,,,
VISITNUM ,9.3,,,24,UNSCHEDULED 9.3 ,,,
VISITNUM ,10,,,25,WEEK 16,,,
VISITNUM ,10.1,,,26,WEEK 18 (T) ,,,
VISITNUM ,10.2,,,27,UNSCHEDULED 10.2 ,,,
VISITNUM ,11,,,28,WEEK 20 ,,,
VISITNUM ,11.1,,,29,WEEK 22 (T) ,,,
VISITNUM ,11.2,,,30,UNSCHEDULED 11.2 ,,,
VISITNUM ,12,,,31,WEEK 24 ,,,
VISITNUM ,12.1,,,32,UNSCHEDULED 12.1 ,,,
VISITNUM ,13,,,33,WEEK 26 ,,,
VISITNUM ,13.1,,,34,UNSCHEDULED 13.1 ,,,
VISITNUM ,101,,,35,AE FOLLOW-UP,,,
VISITNUM ,201,,,36,RETRIEVAL ,,,
VISITNUM ,501,,,37,Rash followup ,,,
YN ,N,C49487,,,No ,,,
YN ,Y,C49488,,,Yes ,,,
Y_BLANK ,Y,C49488,,,Yes ,,,
AESEV,MILD ,C41338 ,1,,Grade 1 ,,,
AESEV,MODERATE ,C41339 ,2,,Grade 2 ,,,
AESEV,SEVERE ,C41340 ,3,,Grade 3 ,,,
AECAUS ,NONE ,,1,,,,,
AECAUS ,POSSIBLE ,,2,,,,,
AECAUS ,PROBABLE,,3,,,,,
AECAUS ,REMOTE ,,4,,,,,
OUT ,RECOVERED/RESOLVED ,C49498,,,,,,
OUT ,NOT RECOVERED/NOT RESOLVED ,C49494,,,,,,
OUT ,FATAL ,C48275 ,,,,,,
AEDICT,,,,,,MedDRA ,8.0,http://www.meddra.org/
AEDICTN,,,,,,MedDRA ,8.0,http://www.meddra.org/
