dataset ,variable,ordernumber,mandatory,keysequence,method,type 
adqsadas ,anl01fl ,32,No ,,"If multiple visits fall into the same visit window, then the one closest to the target day is chosen for analysis. These are flagged with ANL01FL=""Y"".",Computation 
adqsadas ,dtype ,33,No ,,,
adqsadas ,awrange ,34,No ,,,
adqsadas ,awtarget ,35,No ,,,
adqsadas ,awtdiff ,36,No ,,Absolute difference between AWTARGET and ADY,Computation
adqsadas,awlo ,37,No ,,,
adqsadas,awhi ,38,No ,,,
adqsadas ,awu ,39,No ,,,
adqsadas ,qsseq ,40,No ,,,
adae ,studyid ,1,No ,1,,
adae ,siteid ,2,No ,,,
adae ,usubjid ,3,No ,2,,
adae ,trta ,4,No ,,,
adae ,trtan ,5,No ,,,
adae ,age ,6,No  ,,,
adae ,agegr1,7,No ,,,
adae ,agegr1n ,8,No ,,,
adae ,race ,9,No ,,,
adae ,racen ,10,No ,,,
adae ,sex ,11,No ,,,
adae ,saffl ,12,No ,,,
adae ,trtsdt ,13,No ,,,
adae ,trtedt ,14,No ,,,
adae ,astdt ,15,No ,4,"AE.AESTDTC, converted to a numeric SAS date. Some events with partial dates are imputed in a conservative manner. If the day component is missing, a value of '01' is used. If both the month and day are missing no imputation is performed as these dates clearly indicate a start prior to the beginning of treatment. There are no events with completely missing start dates.",Computation
adae ,astdtf,16,No ,,ASTDTF='D' if the day value within the character date is imputed. Note that only day values needed to be imputed for this study,Computation
adae ,astdy ,17,No ,,IF ASTDT>=TRTSDT>MISSING then ASTDY=ASTDT-TRTSDT+1 Else if TRTSDT>ASTDT>MISSING then ASTDY=ASTDT-TRTSDT,Computation
adae ,aendt ,18,No ,,"AE.AEENDTC, converted to a numeric SAS date",Computation
adae ,aendy ,19,No ,,IF AENDT>=TRTSDT>MISSING then AENDY=AENDT-TRTSDT+1 Else if TRTSDT>AENDT>MISSING then AENDY=AENDT-TRTSDT,Computation
adae ,adurn ,20,No ,,ADURN=AENDT-ASTDT+1,Computation
adae ,aduru ,21,No ,,If ADURN is not missing then ADURU='DAY',Computation
adae ,aeterm ,22,No ,3,,
adae ,aellt ,23,No ,,,
adae ,aelltcd ,24,No ,,,
adae ,aedecod ,25,No ,,,
adae ,aeptcd ,26,No ,,,
adae ,aehlt ,27,No ,,,
adae ,aehltcd ,28,No ,,,
adae ,aehlgt ,29,No ,,,
adae ,aehlgtcd ,30,No ,,,
adae ,aebodsys ,31,No ,,,
adae ,aesoc ,32,No ,,,
adae ,aesoccd ,33,No ,,,
adae ,aesev ,34,No ,,,
adae ,aeser,35,No ,,,
adae ,aescan ,36,No ,,,
adae ,aescong ,37,No ,,,
adae ,aesdisab ,38,No ,,,
adae ,aesdth ,39,No ,,,
adae ,aeshosp ,40,No ,,,
adae ,aeslife ,41,No ,,,
adae ,aesod ,42,No ,,,
adae ,aerel ,43,No ,,,
adae ,aeacn ,44,No ,,,
adae ,aeout ,45,No ,,,
adae ,aeseq ,46,No ,5,,
adae ,trtemfl ,47,No ,,If ASTDT >= TRTSDT > . then TRTEMFL='Y'. Otherwise TRTEMFL='N',Computation
adae ,aoccfl ,48,No ,,"Subset to TRTEMFL='Y' and sort by Subject (USUBJID), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCCFL=’Y’) within each Subject",Computation
adae ,aoccsfl ,49,No ,,"Subset to TRTEMFL='Y' and sort by Subject (USUBJID), System Organ Class (AEBODSYS), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCCSFL=’Y’) within each Subject and SOC",Computation
adae ,aoccpfl ,50,No ,,"Subset to TRTEMFL='Y' and sort by Subject (USUBJID), System Organ Class (AEBODSYS), Preferred Term (AEDECOD), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCCPFL=’Y’) within each Subject, SOC, and PT",Computation
adae ,aocc02fl ,51,No ,,"Subset to TRTEMFL='Y' and AESER='Y' and sort by Subject (USUBJID), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC02FL=’Y’) within each Subject",Computation
adae ,aocc03fl ,52,No ,,"Subset to TRTEMFL='Y' and AESER='Y' and sort by Subject (USUBJID), System Organ Class (AEBODSYS), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC03FL=’Y’) within each Subject and SOC",Computation
adae ,aocc04fl ,53,No ,,"Subset to TRTEMFL='Y' and AESER='Y' and sort by Subject (USUBJID), System Organ Class (AEBODSYS), Preferred Term (AEDECOD), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC04FL=’Y’) within each Subject, SOC, and PT",Computation
adae ,cq01nam ,54,No ,,"If AEDECOD contains any of the character strings of ('APPLICATION', 'DERMATITIS', 'ERYTHEMA', 'BLISTER') OR if AEBODSYS='SKIN AND SUBC UTANEOUS TISSUE DISORDERS' but AEDECOD is not in ('COLD SWEAT', 'HYPERHIDROSIS', 'ALOPECIA') then CQ01NAM='DERMATOLOGIC EVENTS' Otherwise CQ01NAM=NULL",Computation
adae ,aocc01fl ,55,No ,,"Subset to CQ01NAM='' and TRTEMFL='Y' and sort by Subject (USUBJID), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC01FL=’Y’) within each Subject (Flag First Treatment Emergent Dermatological Event for Time to Event Analysis)",Computation
